Chvatal,ICPL ,Random,Incling,Preservative,Chvatal,ICPL ,Random,Incling,Preservative,Chvatal,ICPL ,Random,Incling,Preservative,Chvatal,ICPL ,Random,Incling,Preservative
7,7,6,6,6,51,53,239,239,239,404,403,399,399,399,0,0,175,175,177
8,9,8,8,11,49,51,164,164,164,3199,3203,4560,4560,4560,0,0,124,125,128
10,11,9,9,14,51,52,133,133,133,3194,3197,4563,4563,4563,0,0,125,125,133
10,11,9,9,21,48,51,188,188,188,3190,3190,4550,4550,4568,0,0,125,125,130
9,9,8,8,18,52,54,148,148,148,3196,3193,4546,4546,4539,,,,,
10,9,10,10,25,55,54,121,121,121,3189,3190,4542,4542,4542,,,,,
9,9,10,10,56,47,48,159,159,172,3632,3638,7802,7802,7885,,,,,
13,14,11,11,68,49,48,155,155,155,3551,3555,4975,4975,4975,,,,,
15,15,15,15,65,49,50,190,190,190,4434,4440,6392,6392,6392,,,,,
,,,,,51,49,139,139,139,4427,4419,6245,6245,6245,,,,,
